num_demande;heure_depart;coord_origin_x coord_origin_y;coord_dest_x coord_dest_y
9397;07:00:54;843898.4292 6519167.026;845679.3958 6521292.671
9398;07:00:54;845787.5763 6519513.006;846169.9745 6516363.324
9399;07:00:55;840512.0304 6520812.189;838645.9528 6521048.512
9400;07:00:55;843016.0051 6515845.752;842299.5201 6520971.107
9401;07:00:55;838488.018 6515283.056;840051.7927 6515107.423
9402;07:00:55;845266.4356 6516659.483;842088.7892 6521075.082
9403;07:00:55;843653.2412 6511679.292;841649.0778 6520652.376
9404;07:00:55;842538.3832 6512317.894;843518.0367 6514113.928
9405;07:00:55;844288.9585 6514512.87;848626.1678 6519918.092
9406;07:00:55;847405.1424 6522371.882;844732.6378 6521666.429
9407;07:00:56;844404.9565 6520501.973;842109.732 6519249.991
9408;07:00:56;842659.4523 6521056.623;839578.3942 6518772.532
9409;07:00:56;838394.8643 6519750.834;838645.9528 6521048.512
9410;07:00:56;843689.0604 6519325.059;843104.3998 6518556.045
9411;07:00:56;844522.7356 6519937.857;847960.4808 6518666.759
9412;07:00:56;845769.8 6518793.701;848030.8359 6516071.329
9413;07:00:57;847172.4783 6517963.541;845740.5015 6516088.518
9414;07:00:57;844288.9585 6514512.87;848030.8359 6516071.329
9415;07:00:57;843022.7867 6522881.236;843288.9337 6518712.532
9416;07:00:57;847938.312 6516101.313;844271.8425 6514581.23
9417;07:00:57;839580.4876 6515621.513;842258.9642 6516112.607
9418;07:00:57;847894.2626 6516121.358;846611.5371 6520770.501
9419;07:00:57;847405.1424 6522371.882;844830.4513 6520740.791
9420;07:00:58;844459.2821 6517567.545;846902.7055 6519220.512
9421;07:00:58;839904.4962 6522032.37;845862.3197 6522168.939
9422;07:00:58;847405.1424 6522371.882;845775.4562 6520787.566
9423;07:00:58;846403.6522 6518666.079;847690.0354 6518562.491
9424;07:01:00;842538.3832 6512317.894;846813.3887 6515156.766
9426;07:01:00;846510.9696 6520971.828;841633.9448 6518250.897
9427;07:01:00;843905.0729 6516445.336;846813.3887 6515156.766
9430;07:01:01;846890.4852 6519541.935;842727.269 6520326.778
9431;07:01:01;847553.3901 6520137.693;844613.7838 6515056.472
9434;07:01:01;838394.8643 6519750.834;842109.732 6519249.991
9435;07:01:01;838869.8691 6520737.001;838384.2401 6519748.948
9436;07:01:02;838297.0179 6519808.649;841539.8227 6518970.683
9437;07:01:02;837520.5794 6518364.542;839529.4377 6519425.801
9438;07:01:02;839589.7221 6521520.897;838988.4719 6520648.602
9439;07:01:02;842571.0323 6523101.274;843992.7168 6519241.09
9440;07:01:02;838494.7422 6521231.894;840757.0095 6514681.71
9441;07:01:02;841822.1752 6520517.804;842410.7936 6521076.481
9442;07:01:03;838394.8643 6519750.834;841563.6233 6518130.418
9443;07:01:03;839904.4962 6522032.37;841500.344 6522592.166
9444;07:01:03;839764.9526 6518467.977;843448.97 6520149.218
9445;07:01:03;837520.5794 6518364.542;838203.4909 6518571.464
9446;07:01:03;840764.1547 6514606.161;842504.873 6519080.603
9447;07:01:03;847894.2626 6516121.358;839915.295 6522035.949
9448;07:01:03;838394.8643 6519750.834;840307.6456 6520343.687
9449;07:01:04;838297.0179 6519808.649;841318.7393 6517484.952
9450;07:01:04;847214.1777 6522231.717;845377.1884 6520765.565
9451;07:01:04;843653.2412 6511679.292;842612.9521 6512391.827
9452;07:01:05;847808.2843 6519174.073;848105.1981 6520629.491
9453;07:01:05;846618.7059 6519592.087;844468.269 6520310.986
9454;07:01:05;843992.3817 6520266.076;843196.7664 6516048.872
9455;07:01:05;840764.1547 6514606.161;842100.2453 6516489.477
9456;07:01:05;838394.8643 6519750.834;842342.5986 6520459.713
9457;07:01:05;840764.1547 6514606.161;844098.191 6516166.798
9458;07:01:05;837520.5794 6518364.542;838132.3744 6516548.224
9459;07:01:05;845490.8068 6517513.554;847774.7061 6519239.705
9460;07:01:05;840897.3453 6521355.451;844037.9082 6519290.285
9461;07:01:06;839574.3144 6518575.829;838645.9528 6521048.512
9462;07:01:06;846824.2491 6515158.136;843104.3998 6518556.045
9463;07:01:06;839904.4962 6522032.37;847215.8031 6522250.153
9464;07:01:06;844288.9585 6514512.87;842829.8508 6515767.012
9465;07:01:07;842984.1953 6520443.842;841551.0498 6522288.343
9466;07:01:07;843388.1519 6519921.362;842687.1953 6522189.625
9467;07:01:07;844288.9585 6514512.87;844328.9476 6515921.43
9468;07:01:07;838297.0179 6519808.649;841732.2865 6519437.742
9469;07:01:07;848064.32 6516844.165;841138.5706 6515795.757
9470;07:01:08;845760.0031 6515226.544;843322.7197 6518497.824
9471;07:01:08;844738.3997 6519537.449;842429.3359 6521908.308
9472;07:01:08;842538.3832 6512317.894;845411.2334 6517397.657
9473;07:01:08;847405.1424 6522371.882;848626.1678 6519918.092
9474;07:01:08;844899.0385 6516420.95;844271.8425 6514581.23
9475;07:01:08;844914.9169 6518201.564;844018.2536 6520300.667
9476;07:01:08;844683.01 6516147.037;844838.9419 6517139.683
9477;07:01:09;842270.1971 6522137.386;843235.9029 6523046.925
9478;07:01:09;844446.7524 6515568.717;844271.8425 6514581.23
9479;07:01:09;842445.1876 6520597.28;847215.8031 6522250.153
9480;07:01:09;842972.9489 6521393.321;843541.637 6519433.758
9481;07:01:10;838488.018 6515283.056;838645.9528 6521048.512
9482;07:01:10;846751.3524 6518001.885;841946.6844 6520195.367
9483;07:01:10;838894.5424 6517973.983;841181.7937 6518873.637
9484;07:01:10;845389.3001 6523281.057;847215.8031 6522250.153
9487;07:01:10;838494.7422 6521231.894;840757.0095 6514681.71
9488;07:01:10;842282.7811 6522156.114;843553.9246 6518354.379
9489;07:01:11;841117.2431 6521683.258;842280.055 6521058.55
9490;07:01:11;845227.8071 6515183.141;844271.8425 6514581.23
9491;07:01:11;845096.4875 6515175.941;842289.9177 6519139.165
9492;07:01:11;847701.8277 6518972.671;848060.638 6517251.072
9493;07:01:11;845436.1631 6516241.479;845511.2436 6517101.83
9494;07:01:12;842909.6678 6522874.776;845469.2767 6519963.514
9495;07:01:12;842677.0153 6520360.372;844545.6199 6521581.249
9496;07:01:12;838297.0179 6519808.649;842911.6723 6516613.19
9497;07:01:12;838297.0179 6519808.649;841741.5764 6516338.431
9498;07:01:12;838494.7422 6521231.894;847600.0571 6518392.151
9499;07:01:13;841707.6004 6519203.446;843687.206 6520101.474
9500;07:01:13;842538.3832 6512317.894;843614.0549 6511823.084
9501;07:01:13;847938.312 6516101.313;845799.956 6516253.44
9502;07:01:13;838297.0179 6519808.649;843009.2208 6518497.476
9503;07:01:13;848686.5822 6519991.76;843025.5894 6518227.434
9505;07:01:14;843566.2446 6518834.73;841120.3875 6517113.824
9506;07:01:15;838493.8211 6520191.898;841676.9624 6523298.06
9507;07:01:15;846428.1621 6515627.827;842697.1972 6516871.463
9508;07:01:15;842423.629 6520379.706;842673.5717 6515840.909
9509;07:01:15;847482.1521 6518492.97;846935.8254 6521396.951
9510;07:01:15;847405.1424 6522371.882;848626.1678 6519918.092
9511;07:01:15;838494.7422 6521231.894;840372.0709 6520890.045
9512;07:01:15;842349.9078 6520910.071;841168.2674 6516116.276
9513;07:01:16;842538.3832 6512317.894;843614.0549 6511823.084
9514;07:01:16;845226.0706 6521074.126;844221.9763 6519790.082
9515;07:01:16;848686.5822 6519991.76;846813.3887 6515156.766
9516;07:01:16;838494.7422 6521231.894;838476.2564 6515285.436
9517;07:01:16;843653.2412 6511679.292;845671.2648 6516759.142
9518;07:01:16;837782.2006 6517871.081;839811.3127 6521449.299
9519;07:01:16;846824.2491 6515158.136;845912.1713 6516998.136
9520;07:01:16;840764.1547 6514606.161;843518.0367 6514113.928
9521;07:01:16;842595.7424 6519095.166;841549.377 6514415.206
9522;07:01:17;842106.7944 6518820.563;838453.603 6515651.704
9523;07:01:17;842830.6758 6520393.609;842757.3247 6519164.525
9524;07:01:17;838493.8211 6520191.898;841463.9205 6520320.511
9525;07:01:18;847237.7848 6518774.901;848410.0004 6518585.079
9526;07:01:18;845809.0776 6521069.135;847216.8875 6522226.364
9527;07:01:18;839616.5261 6516900.272;843399.394 6515166.826
9528;07:01:18;845188.4883 6521545.334;842067.6018 6523365.844
9529;07:01:18;843653.2412 6511679.292;841352.7485 6514622.081
