ID;DEPARTURE;ORIGIN;DESTINATION
330;00:03:02;E_545413229_T_61615192_toRef;S_82607700
331;00:03:02;E_82607718;S_82611819
332;00:03:02;E_876550037;S_1035659569
333;00:03:03;E_1073571631;S_82611857_T_62946995_toRef
334;00:03:03;E_876550037;S_1073547799
335;00:03:04;E_545413229_T_61615192_toRef;S_82607700
336;00:03:04;E_762997770_T_549690255_toRef;S_82611865
337;00:03:05;E_01;S_800028683_T_704007186_FRef
338;00:03:05;E_1073571631;S_826832662
339;00:03:05;E_82607284;S_1070389113_T_1085062159_toRef
340;00:03:05;E_876550037;S_82611857_T_62946995_toRef
341;00:03:07;E_01;S_1035659569
342;00:03:07;E_1070389113_T_1085062159_FRef;S_82607700
343;00:03:08;E_545413229_T_61615192_toRef;S_545413229_T_61615192_FRef
344;00:03:09;E_881234027;S_543466840_T_58307472_FRef
345;00:03:10;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
346;00:03:10;E_82607718;S_826832662
347;00:03:11;E_01;S_01
348;00:03:11;E_82607284;S_800028683_T_704007186_FRef
349;00:03:12;E_1073571631;S_82611865
350;00:03:12;E_762997770_T_549690255_toRef;S_1070389113_T_1085062159_toRef
351;00:03:13;E_82607284;S_543466840_T_58307472_FRef
352;00:03:13;R_82643095;R_82611805
353;00:03:14;R_82611900;S_82607369_T_549690291_toRef
354;00:03:14;R_82607882;S_826832662
355;00:03:15;E_01;S_82612072
356;00:03:16;E_82607284;S_82611865
357;00:03:16;E_82607718;S_1070389113_T_1085062159_toRef
358;00:03:16;E_881234027;S_826832662
359;00:03:17;E_545413229_T_61615192_toRef;S_82607700
360;00:03:17;C_82607928;S_82607700
361;00:03:18;E_82607284;S_545413229_T_61615192_FRef
362;00:03:19;E_545413229_T_61615192_toRef;S_82611819
363;00:03:19;E_876550037;S_800028683_T_704007186_FRef
364;00:03:20;E_762997770_T_549690255_toRef;S_82607700
365;00:03:21;E_01;S_82611819
366;00:03:21;E_82607718;S_826832662
367;00:03:21;E_881234027;S_82607720
368;00:03:22;E_1073571631;S_82607700
369;00:03:22;R_82607769;S_82611819
370;00:03:23;E_82607284;S_82607798
371;00:03:24;E_1073571631;S_800028683_T_704007186_FRef
372;00:03:24;E_82607718;S_82611819
373;00:03:24;E_881234027;S_82607700
374;00:03:25;E_01;S_82607369_T_549690291_toRef
375;00:03:25;R_82607744;S_82607720
376;00:03:25;R_82607802;S_01
377;00:03:25;R_82611899;S_545413229_T_61615192_FRef
378;00:03:26;E_82607284;S_1035659569
379;00:03:26;E_82607718;S_82607369_T_549690291_toRef
380;00:03:27;E_01;S_82607700
381;00:03:27;E_545413229_T_61615192_toRef;S_82612072
382;00:03:28;E_82607718;S_01
383;00:03:28;E_82611835;S_82607369_T_549690291_toRef
384;00:03:28;E_826832663;S_1035659569
385;00:03:28;E_881234027;S_82611857_T_62946995_toRef
386;00:03:29;E_01;S_1070389113_T_1085062159_toRef
387;00:03:29;E_1073571631;S_82607707_T_58231974_toRef
388;00:03:29;E_545413229_T_61615192_toRef;S_82612072
389;00:03:29;E_800028683_T_704007186_toRef;S_82607798
390;00:03:31;E_01;S_82607369_T_549690291_toRef
