ID;DEPARTURE;ORIGIN;DESTINATION
1846;06:46:17;844443.1783 6520835.108;848474.6978 6519457.304
1850;06:46:18;845482.9127 6520339.295;848351.6877 6520065.416
1859;06:46:23;844698.6786 6522619.701;846356.8279 6522839.287
1870;06:46:29;845556.2592 6519953.007;845288.6838 6522303.063
1878;06:46:33;845631.5569 6521020.422;845412.2966 6521942.167
1886;06:46:36;847402.7388 6519830.467;843410.1347 6519795.473
1887;06:46:37;845153.8736 6520913.895;843471.1748 6519997.556
1901;06:46:44;844992.5452 6520364.343;847671.0732 6519447.367
1909;06:46:46;847542.2604 6520018.567;844917.2401 6520327.018
1917;06:46:50;844703.5598 6519852.65;844732.9194 6520494.843
1919;06:46:51;845232.8972 6519900.207;844160.1334 6520819.045
1928;06:46:55;848140.73 6520122.965;845388.4569 6520126.0
1938;06:46:59;847926.9722 6518875.851;846131.7664 6520155.877
1947;06:47:05;843958.365 6519585.696;845487.2306 6521668.15
1953;06:47:09;844252.5388 6520525.741;845945.5295 6519658.443
1961;06:47:12;848259.1317 6518642.504;846348.3935 6522741.484
1964;06:47:13;843341.9059 6520163.837;843874.0954 6520053.546
1965;06:47:13;843466.9239 6519682.242;844595.9499 6520666.012
1975;06:47:17;844435.0683 6520868.368;844686.7376 6520332.873
1978;06:47:19;843438.1405 6520213.392;847980.5116 6518798.571
1980;06:47:20;843676.045 6519709.17;844176.6574 6520512.849
1982;06:47:21;845282.7142 6520979.936;846574.8101 6522274.791
1983;06:47:21;847167.3482 6520122.867;846339.1696 6521694.868
1991;06:47:26;845016.0264 6521187.286;844782.2572 6519524.043
1996;06:47:28;845826.4022 6519434.094;846631.7863 6519584.056
2010;06:47:35;844906.0323 6520571.133;845557.0872 6519947.064
2016;06:47:36;843249.2146 6519996.545;845557.0872 6519947.064
2017;06:47:37;847181.2749 6519185.662;843479.4402 6519943.32
2029;06:47:41;847425.6264 6520019.096;843948.4218 6519546.343
2034;06:47:41;847414.0832 6519746.9;846122.695 6520284.694
2042;06:47:46;845052.2373 6521546.902;844515.99 6521268.065
2044;06:47:49;847013.4036 6519571.539;844679.346 6520854.595
2065;06:47:59;845421.1181 6520587.974;843782.6886 6520704.66
2070;06:48:00;843770.2315 6520705.479;843492.4008 6520135.059
2080;06:48:06;844716.9035 6520667.338;844533.9888 6521382.139
2085;06:48:08;847252.1677 6521666.393;847663.6912 6519269.456
2088;06:48:09;844486.7475 6522567.017;844679.346 6520854.595
2099;06:48:12;844767.0588 6520728.967;847062.7262 6522192.95
2100;06:48:12;844624.2608 6519559.106;843730.4245 6522187.217
2119;06:48:23;845520.4018 6519840.314;846663.3839 6520682.874
2120;06:48:24;846221.9656 6520091.838;845323.2141 6520123.343
2138;06:48:33;847322.4723 6519323.694;847775.3006 6520285.22
2143;06:48:35;846123.6567 6520267.877;844676.6215 6519849.242
2165;06:48:44;848369.5106 6520189.637;845556.9844 6521550.313
2170;06:48:45;843471.1748 6519997.556;845270.4956 6522972.456
2199;06:49:06;846268.7192 6521878.695;848114.1818 6520407.617
2204;06:49:08;844698.267 6520246.943;844704.5574 6519446.605
2209;06:49:09;843069.7896 6520207.013;844738.3997 6519537.449
2212;06:49:13;844203.8944 6519480.761;843469.8701 6520400.887
2214;06:49:16;844116.6734 6519312.124;846131.7664 6520155.877
2215;06:49:16;846896.7879 6519219.522;845069.7429 6521475.585
2235;06:49:30;844460.7232 6519201.304;848419.1415 6519637.594
2246;06:49:33;846568.8753 6520080.438;846756.7368 6520745.091
2252;06:49:36;843347.21 6520140.231;844543.3759 6521544.539
2264;06:49:43;847314.965 6519576.55;845772.5988 6521594.733
2269;06:49:46;847749.0365 6520149.066;843591.3718 6522367.923
2275;06:49:50;844299.7624 6519192.626;844779.6873 6520929.584
2282;06:49:53;845774.9815 6519924.115;845064.6825 6519680.674
2291;06:49:57;844025.6641 6520354.899;845991.9529 6522540.405
2304;06:50:10;843567.4707 6520414.75;844682.3803 6519207.364
2310;06:50:13;847038.7308 6521888.219;845508.6287 6519943.341
2317;06:50:16;845109.7487 6521292.426;845392.9529 6520854.804
2323;06:50:21;843297.2989 6520984.336;844916.3515 6522766.351
2325;06:50:22;847671.0732 6519447.367;843888.9054 6522572.205
2329;06:50:23;844491.1027 6519417.939;844739.0092 6522359.857
2332;06:50:25;847925.9983 6519267.222;843718.2832 6522196.695
2349;06:50:35;846853.5879 6520427.926;844736.0287 6521346.913
2360;06:50:40;843502.225 6522305.774;844371.0892 6519372.934
2363;06:50:41;843966.0061 6520478.982;844554.6496 6520662.383
2377;06:50:50;843278.2115 6520037.479;844706.0859 6519981.378
2380;06:50:50;845187.0053 6519785.008;844916.6894 6520350.332
2384;06:50:52;844129.9637 6520812.782;845715.4189 6519649.438
2392;06:50:57;846114.6138 6520446.592;846365.9093 6519857.093
2406;06:51:02;843077.6937 6520905.532;843833.1053 6520377.423
2410;06:51:04;843143.8085 6519886.858;844792.6329 6520435.158
2413;06:51:08;844690.6378 6520221.667;844295.6489 6519246.21
2423;06:51:15;843482.9153 6520326.631;846104.1426 6521390.711
2427;06:51:18;845292.6892 6521543.358;844686.869 6521486.719
2430;06:51:20;846141.6078 6521042.145;844272.5762 6519871.942
2435;06:51:25;845774.9815 6519924.115;844649.7872 6519206.557
2443;06:51:28;843069.7896 6520207.013;845508.9054 6519964.454
2445;06:51:32;844782.2572 6519524.043;845056.2807 6521965.218
2447;06:51:33;845508.6287 6519943.341;844295.6489 6519246.21
2457;06:51:38;844498.5663 6520807.013;844415.6816 6519380.524
2464;06:51:41;845324.1098 6519494.641;844847.3979 6519941.926
2468;06:51:45;843306.5787 6520377.051;845692.3658 6522082.493
