idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;validite;gid;code_insee;lon;lat
2010;Confluence / Darse;Allée Andrée Mure;Angle Quai Antoine Riboud;Lyon 2e Arrondissement;10;22;;Pôle de Loisirs Confluence;True;Monté;Validé;251;69382;4,815854361039027;45,74341409472539
3039;Place Bir-Hakeim;Face 2, Place Bir-Hakeim;;Lyon 3e Arrondissement;39;19;;Maillage;True;Monté;Validé;283;69383;4,855710148688799;45,75259214373137
1035;Quai Lassagne;3, Quai André Lassagne;;Lyon 1er Arrondissement;35;16;;Maillage;True;Monté;Validé;286;69381;4,837911792926473;45,77220146927456
7003;Gambetta / Garibaldi;100, Cours Gambetta;Angle Rue Rachais;Lyon 7e Arrondissement;3;40;;Métro D;True;Monté;Validé;356;69387;4,852607966008755;45,75179013556488
3085;Sacré Coeur;66, Rue Antoine Charial;;Lyon 3e Arrondissement;85;16;;Gymnase - Piscine - Lycée - Jardin public - Sacré Coeur;True;Monté;Validé;295;69383;4,868350531883271;45,75786183436949
8061;Stade Vuillermet;186, Avenue Paul Santy;;Lyon 8e Arrondissement;61;18;;Stade - Commerces;True;Monté;Validé;357;69388;4,88129489220966;45,72540371721826
2036;Place Antonin Gourju;Face 11, Place Antonin Gourju;;Lyon 2e Arrondissement;36;30;;Commerces - Place Bellecour - Centre ville;True;Monté;Validé;296;69382;4,830169955416065;45,75948634905248
8024;Mermoz / Michelet;66, Avenue Jean Mermoz;Angle Boulevard Edmond Michelet;Lyon 8e Arrondissement;24;12;;Cité des Entreprises - Itinéraire cyclable - Tram T6;True;Monté;Validé;367;69388;4,878600856962377;45,73327178016184
3053;Gambetta / Jusserand;97, Avenue Jules Jusserand;Angle Cours Gambetta;Lyon 3e Arrondissement;53;13;;Bureaux - Itinéraire cyclable;True;Monté;Validé;299;69383;4,855585088300652;45,751112410293835
8038;Albert Thomas / Villon;64, Cours Albert Thomas;Angle Rue Villon;Lyon 8e Arrondissement;38;20;;Bureaux - Itinéraire cyclable;True;Monté;Validé;336;69388;4,867428644526009;45,74671633151209
3067;Hachette;2, Rue Jean Renoir;Angle Rue Jeanne Hachette;Lyon 3e Arrondissement;67;15;;CES - Logements;True;Monté;Validé;312;69383;4,8638526893825516;45,75291602189632
5032;Ménival / Eisenhower;37, Avenue de Ménival;;Lyon 5e Arrondissement;;12;;Commerces - Logements;True;Monté;Validé;375;69385;4,783245907844624;45,75675522836069
